DT_REFE,QT_CORR,QT_CORR_NEG,QT_CORR_PESS,VL_MAX_DIST,VL_MIN_DIST,VL_AVG_DIST,QT_CORR_REUNI,QT_CORR_NAO_REUNI
2016-10-03,4,4,0,127,16,69.0,0,0
2016-10-04,2,2,0,286,151,218.5,0,0
2016-10-06,4,4,0,1126,138,406.8,0,0
2016-10-07,7,7,0,332,24,87.9,0,0
2016-10-08,2,2,0,36,8,22.0,0,0
2016-10-09,1,1,0,77,77,77.0,0,1
2016-10-10,2,2,0,95,17,56.0,0,0
2016-10-11,1,1,0,171,171,171.0,1,0
2016-10-12,1,1,0,184,184,184.0,0,0
2016-10-13,5,5,0,109,1,47.6,0,0
2016-10-14,4,4,0,127,17,76.5,1,0
2016-10-15,1,1,0,62,62,62.0,0,0
2016-10-16,7,7,0,105,21,48.1,2,1
2016-10-17,5,5,0,206,33,104.8,0,0
2016-10-18,6,6,0,79,3,27.3,0,1
2016-10-19,7,7,0,108,17,52.4,0,0
2016-10-20,3,3,0,477,31,318.0,0,0
2016-10-21,1,1,0,132,132,132.0,0,0
2016-10-22,3,3,0,172,14,91.0,0,0
2016-10-23,4,4,0,282,31,156.2,0,2
2016-10-24,3,3,0,164,22,113.3,0,0
2016-10-25,6,6,0,112,22,57.0,0,2
2016-10-26,2,2,0,21,21,21.0,1,0
2016-10-27,5,5,0,121,39,73.0,1,0
2016-10-28,5,5,0,1336,99,512.8,5,0
2016-10-29,2,2,0,757,407,582.0,1,0
2016-10-30,9,9,0,1959,63,433.6,0,0
2016-10-31,4,4,0,131,32,90.5,0,1
2016-11-01,6,6,0,165,1,64.8,0,1
2016-11-02,5,5,0,85,5,32.0,1,0
2016-11-03,6,6,0,31,14,23.8,0,2
2016-11-04,4,4,0,79,38,49.8,0,1
2016-11-05,3,3,0,28,22,24.0,0,0
2016-11-06,5,5,0,439,18,108.4,1,1
2016-11-07,2,2,0,132,118,125.0,0,2
2016-11-08,4,4,0,122,3,68.5,1,1
2016-11-09,8,8,0,127,7,51.4,1,1
2016-11-10,6,6,0,126,6,43.7,1,2
2016-11-11,6,6,0,459,4,151.5,0,2
2016-11-12,8,8,0,64,6,28.0,1,1
2016-11-13,14,14,0,446,4,79.8,1,3
2016-11-15,3,3,0,118,51,88.7,0,2
2016-11-16,2,2,0,31,23,27.0,0,2
2016-11-17,1,1,0,163,163,163.0,0,1
2016-11-18,3,3,0,61,31,48.0,1,2
2016-11-19,6,6,0,105,15,58.2,2,2
2016-11-20,4,4,0,392,27,167.0,1,3
2016-11-21,5,5,0,67,21,36.4,0,5
2016-11-22,5,5,0,127,3,52.2,2,3
2016-11-23,4,4,0,59,13,31.0,0,1
2016-11-25,2,2,0,111,103,107.0,2,0
2016-11-26,5,5,0,133,9,46.4,2,2
2016-11-27,2,2,0,33,29,31.0,0,1
2016-11-30,3,3,0,85,31,61.0,0,2
2016-12-01,4,4,0,55,29,42.0,1,3
2016-12-02,4,4,0,53,3,35.0,0,4
2016-12-03,3,3,0,66,3,29.0,0,2
2016-12-04,2,2,0,34,29,31.5,0,2
2016-12-05,2,2,0,41,38,39.5,0,1
2016-12-07,4,4,0,69,4,36.5,2,2
2016-12-08,4,4,0,34,2,18.0,1,3
2016-12-09,4,4,0,189,51,96.0,1,3
2016-12-10,4,4,0,156,3,86.5,1,3
2016-12-11,3,3,0,48,3,24.0,0,3
2016-12-12,5,5,0,47,3,25.6,0,5
2016-12-13,2,2,0,42,41,41.5,0,2
2016-12-14,4,4,0,34,3,25.2,0,2
2016-12-15,1,1,0,106,106,106.0,1,0
2016-12-17,2,2,0,53,48,50.5,0,2
2016-12-18,3,3,0,102,49,81.0,0,2
2016-12-19,11,11,0,102,7,45.0,1,5
2016-12-20,8,8,0,194,12,56.0,1,6
2016-12-21,10,10,0,162,2,59.2,5,5
2016-12-22,9,9,0,323,14,103.9,4,5
2016-12-23,5,5,0,96,3,49.0,3,2
2016-12-24,8,8,0,107,6,40.9,0,8
2016-12-25,3,3,0,23,6,17.3,0,3
2016-12-26,5,5,0,79,32,57.6,1,4
2016-12-27,6,6,0,79,5,37.5,1,5
2016-12-28,7,7,0,104,2,61.0,0,7
2016-12-29,13,13,0,129,3,55.5,2,10
2016-12-30,5,5,0,46,8,31.4,1,4
2016-12-31,5,5,0,482,7,150.8,2,3
